bill_number,tweet_id,text,date,user,url
HB2535,1235979010942922752,"ATTENTION: Hearing next Tuesday for HB2535 which forces the sale of Eleven Point State Park. Call to battle invasive honeysuckle and more in this Week's #MOWater News, Legislative Lookout, and Stream Team events https://t.co/tEcaOuS0zi https://t.co/hgzf2y5a1Y",Fri Mar 06 17:22:14 +0000 2020,Stream Teams United,https://twitter.com/mostreamteam/status/1235979010942922752
HB3493,1237055419937406976,RT @ProtectILCare: Health care consumers and advocates ready to hear legislators deliberate #HB3493 - a bill to create a Prescription Drug…,Mon Mar 09 16:39:30 +0000 2020,Claire Yenor,https://twitter.com/LisaYenor/status/1237055419937406976
HB3493,1236361681544019968,RT @ProtectILCare: We are disappointed that the committee voted against a Prescription Drug Affordability Board in Illinois. See our statem…,Sat Mar 07 18:42:50 +0000 2020,Indivisible Lakeview + Lincoln Park,https://twitter.com/IndivLakeviewLP/status/1236361681544019968
HB3493,1236361189980020736,RT @ProtectILCare: We are disappointed that the committee voted against a Prescription Drug Affordability Board in Illinois. See our statem…,Sat Mar 07 18:40:52 +0000 2020,Indivisible Illinois,https://twitter.com/IndivisibleIL/status/1236361189980020736
HB3493,1236360516605554689,RT @ProtectILCare: We are disappointed that the committee voted against a Prescription Drug Affordability Board in Illinois. See our statem…,Sat Mar 07 18:38:12 +0000 2020,Beth Malone,https://twitter.com/Bethsiulaw/status/1236360516605554689
HB3493,1236356326848188416,RT @ProtectILCare: We are disappointed that the committee voted against a Prescription Drug Affordability Board in Illinois. See our statem…,Sat Mar 07 18:21:33 +0000 2020,Peteamus,https://twitter.com/aerosop/status/1236356326848188416
HB3493,1235654695504343040,RT @afscme31: #HB3493 heard in the House Prescription Drug Affordability Committee this morning. @AFSCME retirees and other seniors are the…,Thu Mar 05 19:53:31 +0000 2020,Jane Addams Seniors in Action,https://twitter.com/JASIAction/status/1235654695504343040
HB3493,1235588450923040769,RT @afscme31: #HB3493 heard in the House Prescription Drug Affordability Committee this morning. @AFSCME retirees and other seniors are the…,Thu Mar 05 15:30:17 +0000 2020,Wendy Katten,https://twitter.com/wjk1971/status/1235588450923040769
HB3493,1235559571319554051,RT @afscme31: #HB3493 heard in the House Prescription Drug Affordability Committee this morning. @AFSCME retirees and other seniors are the…,Thu Mar 05 13:35:32 +0000 2020,JennLadischDouglass,https://twitter.com/JennKait/status/1235559571319554051
HB3493,1235415929862963200,RT @ProtectILCare: Health care consumers and advocates ready to hear legislators deliberate #HB3493 - a bill to create a Prescription Drug…,Thu Mar 05 04:04:45 +0000 2020,Ryan Gruenenfelder,https://twitter.com/Gruen75/status/1235415929862963200
HB3493,1235409255580213248,RT @ProtectILCare: Health care consumers and advocates ready to hear legislators deliberate #HB3493 - a bill to create a Prescription Drug…,Thu Mar 05 03:38:13 +0000 2020,Illinois Alliance,https://twitter.com/ILRetirees/status/1235409255580213248
HB3493,1235397801644904456,RT @EverThriveIL: Donna Cruce shared her Rx story and why she supports HB3493. The cost of her prescription drugs caused her to forgo filli…,Thu Mar 05 02:52:43 +0000 2020,Protect Our Care IL,https://twitter.com/ProtectILCare/status/1235397801644904456
HB3493,1235397645046288384,RT @afscme31: #HB3493 heard in the House Prescription Drug Affordability Committee this morning. @AFSCME retirees and other seniors are the…,Thu Mar 05 02:52:05 +0000 2020,Protect Our Care IL,https://twitter.com/ProtectILCare/status/1235397645046288384
HB3493,1235396023444365312,RT @afscme31: #HB3493 heard in the House Prescription Drug Affordability Committee this morning. @AFSCME retirees and other seniors are the…,Thu Mar 05 02:45:39 +0000 2020,Illinois Alliance,https://twitter.com/ILRetirees/status/1235396023444365312
HB3493,1235394077904048128,RT @afscme31: #HB3493 heard in the House Prescription Drug Affordability Committee this morning. @AFSCME retirees and other seniors are the…,Thu Mar 05 02:37:55 +0000 2020,Citizen Action IL,https://twitter.com/CitizenActionIL/status/1235394077904048128
HB3493,1235318431630708736,RT @ProtectILCare: We are disappointed that the committee voted against a Prescription Drug Affordability Board in Illinois. See our statem…,Wed Mar 04 21:37:19 +0000 2020,Julie Sampson,https://twitter.com/JulieSampson12/status/1235318431630708736
